filename	acq_time	original_filename
ieeg/sub-pt2_ses-presurgery_task-ictal_acq-ecog_run-01_ieeg.vhdr	1914-07-30T06:27:28	pt2sz1_0001.edf
ieeg/sub-pt2_ses-presurgery_task-ictal_acq-ecog_run-02_ieeg.vhdr	1923-03-19T18:51:48	pt2sz3_0001.edf
ieeg/sub-pt2_ses-presurgery_task-ictal_acq-ecog_run-03_ieeg.vhdr	1910-05-07T04:55:03	pt2sz4_0001.edf
ieeg/sub-pt2_ses-presurgery_task-interictal_acq-ecog_run-01_ieeg.vhdr	1903-02-26T23:13:52	pt2aslp1_0001.edf
ieeg/sub-pt2_ses-presurgery_task-interictal_acq-ecog_run-02_ieeg.vhdr	1915-11-28T01:45:13	pt2aslp2_0001.edf
ieeg/sub-pt2_ses-presurgery_task-interictal_acq-ecog_run-03_ieeg.vhdr	1902-10-30T22:30:37	pt2aw1_0001.edf
ieeg/sub-pt2_ses-presurgery_task-interictal_acq-ecog_run-04_ieeg.vhdr	1920-12-04T19:14:45	pt2aw2_0001.edf
